,be,al,chisq,hobs
0,0.1,-1.5707963267948966,852.3439164952291,1.1651638178737431
1,0.1,-1.555009429038164,809.436373766961,1.166500772645411
2,0.1,-1.5392225312814314,679.6872129881134,1.1549730214300304
3,0.1,-1.5234356335246986,504.7636293831357,1.1314733552443406
4,0.1,-1.507648735767966,330.8320010601629,0.40890430470707595
5,0.1,-1.4918618380112334,193.92886259246836,0.6159618345985439
6,0.1,-1.4760749402545008,126.70847638440634,0.6585629469291182
7,0.1,-1.4602880424977682,162.89711212115182,1.0981214743631742
8,0.1,-1.4445011447410354,344.0914231998565,1.354825872042159
9,0.1,-1.4287142469843028,732.4728308105725,1.6116193861946164
10,0.1,-1.4129273492275702,1424.3731207550645,1.8625925138122437
11,0.1,-1.3971404514708377,2551.9186769431158,2.1033109306633704
12,0.1,-1.381353553714105,4285.250916262529,2.3306651342281812
13,0.1,-1.3655666559573723,6830.545549644782,2.542659805306936
14,0.1,-1.3497797582006397,10430.711901767854,2.738188564571751
15,0.1,-1.333992860443907,15358.168556750521,10.389594255240938
16,0.1,-1.3182059626871745,21914.209046534772,12.502591976489455
17,0.1,-1.302419064930442,30423.11094850841,14.816325220137626
18,0.1,-1.286632167173709,41228.673200658835,17.325836309206647
19,0.1,-1.2708452694169767,54689.006636901395,20.02567793294895
20,0.1,-1.255058371660244,71173.58375503669,22.91008876355448
21,0.1,-1.2392714739035113,91060.28866948654,25.97312744454815
22,0.1,-1.2234845761467787,114732.0268934753,29.20876394508964
23,0.1,-1.2076976783900462,142574.09208475577,32.61093933791999
24,0.1,-1.1919107806333136,174971.53642258776,36.17360276691558
25,0.1,-1.1761238828765808,212307.52028976384,39.89073233909285
26,0.1,-1.1603369851198482,254961.32360716534,43.75634499040008
27,0.1,-1.1445500873631156,303307.2464180391,47.76449903464148
28,0.1,-1.128763189606383,357712.73793325014,51.909292071328004
29,0.1,-1.1129762918496504,418538.2246932111,56.18485614892232
30,0.1,-1.0971893940929176,486128.750179214,60.58535150273946
31,0.1,-1.081402496336185,560813.7002714862,65.10495976562473
32,0.1,-1.0656155985794524,642920.2670124548,69.73787724633598
33,0.1,-1.0498287008227198,732747.5866948903,74.4783086550605
34,0.1,-1.0340418030659873,830579.8812283322,79.32046150435382
35,0.1,-1.0182549053092544,936682.2269132704,84.2585413093453
36,0.1,-1.0024680075525219,1051299.1201717253,89.28674764016797
37,0.1,-0.9866811097957893,1174651.7222780162,94.3992710325688
38,0.1,-0.9708942120390567,1306935.523103296,99.59029073247287
39,0.1,-0.955107314282324,1448317.7728962332,104.85397323183582
40,0.1,-0.9393204165255914,1598936.3219667294,110.18447154273721
41,0.1,-0.9235335187688588,1758898.5988675784,115.57592515176033
42,0.1,-0.9077466210121261,1928282.2159764098,121.02246059541096
43,0.1,-0.8919597232553935,2107132.98176583,126.51819259836734
44,0.1,-0.8761728254986609,2295465.381078043,132.05722571881864
45,0.1,-0.8603859277419282,2493261.3578105606,137.6336564484304
46,0.1,-0.8445990299851956,2700469.6827585115,143.24157571814922
47,0.1,-0.828812132228463,2917005.488776282,148.87507176485718
48,0.1,-0.8130252344717304,3142749.875029508,154.5282333176171
49,0.1,-0.7972383367149978,3377549.568068897,160.19515306582878
50,0.1,-0.7814514389582651,3621216.833703159,165.86993137494386
51,0.1,-0.7656645412015325,3873529.4942590464,171.54668021847408
52,0.1,-0.7498776434447998,4134231.080310834,177.2195272978328
53,0.1,-0.7340907456880672,4403031.115092051,182.88262032408664
54,0.1,-0.7183038479313346,4679605.531265809,188.53013143799066
55,0.1,-0.7025169501746019,4963597.220298852,194.15626174671192
56,0.1,-0.6867300524178693,5254616.714404968,199.7552459574966
57,0.1,-0.6709431546611367,5552243.000234219,205.32135709015276
58,0.1,-0.655156256904404,5856024.752523311,210.848911251678
59,0.1,-0.6393693591476715,6165480.255656681,216.33227245765985
60,0.1,-0.6235824613909389,6480100.7289111,221.76585748622443
61,0.1,-0.6077955636342062,6799348.835739069,227.14414075133766
62,0.1,-0.5920086658774736,7122662.888869437,232.46165918317925
63,0.1,-0.5762217681207409,7449456.73490031,237.71301710413587
64,0.1,-0.5604348703640083,7779121.80753181,242.89289108968262
65,0.1,-0.5446479726072757,8111028.867593623,247.99603480409726
66,0.1,-0.5288610748505431,8444529.83447811,253.01728380153546
67,0.1,-0.5130741770938103,8778959.711130887,257.9515602835431
68,0.1,-0.4972872793370777,9113638.552386982,262.7938778045674
69,0.1,-0.48150038158034514,9447873.551811542,267.53934591747924
70,0.1,-0.46571348382361255,9780961.162490236,272.1831747515251
71,0.1,-0.44992658606687996,10112189.277094703,276.7206795155143
72,0.1,-0.43413968831014715,10440839.483593976,281.1472849193855
73,0.1,-0.41835279055341457,10766189.23507926,285.45852950763737
